drug|disease	disease ID labels	drug ID Label	drug ID	disease IDs	active ingredients in therapy	list of diseases
HP:0000413|CHEBI:15366	Atresia of the external auditory canal	Acetic acid	CHEBI:15366	HP:0000413	['ACETIC ACID']	['SUPERFICIAL INFECTIONS OF THE EXTERNAL AUDITORY CANAL']
HP:0000413|CHEBI:5781	Atresia of the external auditory canal	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	HP:0000413	['COLISTIN, NEOMYCIN, HYDROCORTISONE, THONZONIUM', 'HYDROCORTISONE, ACETIC ACID']	['SUPERFICIAL BACTERIAL INFECTIONS OF THE EXTERNAL AUDITORY CANAL', 'SUPERFICIAL INFECTIONS OF THE EXTERNAL AUDITORY CANAL', 'SUPERFICIAL INFECTIONS OF THE EXTERNAL AUDITORY CANAL (CAUSED BY SUSCEPTIBLE ORGANISMS)']
HP:0000413|RXCUI:216244	Atresia of the external auditory canal	Cortisporin-TC	RXCUI:216244	HP:0000413	['THONZONIUM BROMIDE, COLISTIN, NEOMYCIN, HYDROCORTISONE']	['SUPERFICIAL BACTERIAL INFECTIONS OF THE EXTERNAL AUDITORY CANAL']
HP:0000413|RXCUI:374806	Atresia of the external auditory canal	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	RXCUI:374806	HP:0000413	['HYDROCORTISONE, NEOMYCIN, POLYMYXIN B']	['SUPERFICIAL BACTERIAL INFECTIONS OF THE EXTERNAL AUDITORY CANAL']
HP:0000421|CHEBI:2676	Epistaxis	Amoxicillin	CHEBI:2676	HP:0000421	['AMOXICILLIN', 'AMOXICILLIN ANHYDROUS']	['NOSE']
HP:0000421|CHEBI:32130	Epistaxis	Silver nitrate	CHEBI:32130	HP:0000421	['SILVER CATION, NITRATE ION']	['EPISTAXIS']
HP:0000421|CHEBI:6446	Epistaxis	levothyroxine sodium anhydrous	CHEBI:6446	HP:0000421	['CLAVULANIC ACID, AMOXICILLIN ANHYDROUS']	['NOSE']
HP:0000421|CHEBI:8382	Epistaxis	Prednisone	CHEBI:8382	HP:0000421	['PREDNISONE']	['NOSE']
HP:0000482|CHEBI:9907	Microcornea	Ursodeoxycholic acid	CHEBI:9907	HP:0000482	['URSODIOL']	['<20MM DIAMETER)']
HP:0000495|UNII:9XZ8H6N6OH	Recurrent corneal erosions	Hydroxypropyl cellulose	UNII:9XZ8H6N6OH	HP:0000495	['HYDROXYPROPYL CELLULOSE (1600000 WAMW)']	['RECURRENT CORNEAL EROSIONS']
HP:0000505|CHEBI:31824	Visual impairment	MESNA	CHEBI:31824	HP:0000505	['MESNA']	['UROLOGICAL IMPAIRMENT']
HP:0000613|CHEBI:4508	Photophobia	DICLOFENAC POTASSIUM	CHEBI:4508	HP:0000613	['DICLOFENAC']	['PHOTOPHOBIA']
HP:0000616|CHEBI:16684	Miosis	Atropine	CHEBI:16684	HP:0000616	['ATROPINE']	['MIOSIS']
HP:0000633|CHEBI:3738	Decreased lacrimation	Clemastine	CHEBI:3738	HP:0000633	['CLEMASTINE']	['LACRIMATION']
HP:0000708|CHEBI:3647	Atypical behavior	Chlorpromazine	CHEBI:3647	HP:0000708	['CHLORPROMAZINE', 'CHLORPROMAZINE, BISULFITE ION, SULFITE ION']	['BEHAVIORAL PROBLEMS (CHILDREN)', 'BEHAVIORAL PROBLEMS (COMBATIVENESS', 'BEHAVIORAL PROBLEMS (COMBATIVENESS/EXPLOSIVE HYPEREXCITABLE BEHAVIOR)', 'BEHAVIORAL PROBLEMS IN CHILDREN', 'BEHAVIORAL PROBLEMS IN CHILDREN (1 TO 12 YEARS OF AGE)', 'BEHAVIORAL PROBLEMS IN CHILDREN (1 TO 12 YEARS OF AGE) MARKED BY COMBATIVENESS AND/OR EXPLOSIVE HYPEREXCITABLE BEHAVIOR (OUT OF PROPORTION TO IMMEDIATE PROVOCATIONS)', 'BEHAVIORAL PROBLEMS IN CHILDREN (COMBATIVENESS', 'BEHAVIORAL PROBLEMS IN CHILDREN (COMBATIVENESS/EXPLOSIVE HYPEREXCITABLE BEHAVIOR)', 'SEVERE BEHAVIORAL PROBLEMS IN CHILDREN', 'SEVERE BEHAVIORAL PROBLEMS IN CHILDREN (1 TO 12 YEARS OF AGE)', 'SEVERE BEHAVIORAL PROBLEMS IN CHILDREN (1 TO 12 YEARS OF AGE) MARKED BY COMBATIVENESS AND/OR EXPLOSIVE HYPEREXCITABLE BEHAVIOR (OUT OF PROPORTION TO IMMEDIATE PROVOCATIONS)', 'SEVERE BEHAVIORAL PROBLEMS IN CHILDREN (1 YEAR TO 12 YEARS OF AGE) MARKED BY COMBATIVENESS AND/OR EXPLOSIVE HYPEREXCITABLE BEHAVIOR (OUT OF PROPORTION TO IMMEDIATE PROVOCATIONS)']
HP:0000708|CHEBI:5613	Atypical behavior	Haloperidol	CHEBI:5613	HP:0000708	['HALOPERIDOL']	['BEHAVIOR PROBLEMS', 'SEVERE BEHAVIOR PROBLEMS (COMBATIVE', 'SEVERE BEHAVIOR PROBLEMS IN CHILDREN', 'SEVERE BEHAVIOR PROBLEMS IN CHILDREN (COMBATIVE', 'SEVERE BEHAVIOR PROBLEMS IN CHILDREN OF COMBATIVE']
HP:0000711|CHEBI:3647	Restlessness	Chlorpromazine	CHEBI:3647	HP:0000711	['CHLORPROMAZINE', 'CHLORPROMAZINE, BISULFITE ION, SULFITE ION']	['RESTLESSNESS', 'RESTLESSNESS AND APPREHENSION', 'RESTLESSNESS AND APPREHENSION BEFORE SURGERY']
HP:0000712|CHEBI:3647	Emotional lability	Chlorpromazine	CHEBI:3647	HP:0000712	['CHLORPROMAZINE']	['MOOD LABILITY', 'MOOD LABILITY AND POOR FRUSTRATION TOLERANCE', 'MOOD LABILITY AND POOR FRUSTRATION TOLERANCE)']
HP:0000712|CHEBI:5613	Emotional lability	Haloperidol	CHEBI:5613	HP:0000712	['HALOPERIDOL']	['MOOD LABILITY', 'MOOD LABILITY AND POOR FRUSTRATION TOLERANCE', 'MOOD LABILITY AND POOR FRUSTRATION TOLERANCE)']
HP:0000712|CHEBI:6809	Emotional lability	Metamfetamine	CHEBI:6809	HP:0000712	['METHAMPHETAMINE']	['EMOTIONAL LABILITY']
HP:0000713|CHEBI:10119	Agitation	Ziprasidone	CHEBI:10119	HP:0000713	['ZIPRASIDONE']	['ACUTE AGITATION IN SCHIZOPHRENIA', 'ACUTE AGITATION IN SCHIZOPHRENIC PATIENTS', 'SCHIZOPHRENIA (ACUTE AGITATION)']
HP:0000713|CHEBI:2675	Agitation	Amoxapine	CHEBI:2675	HP:0000713	['AMOXAPINE']	['AGITATION']
HP:0000713|CHEBI:4466	Agitation	Dexmedetomidine	CHEBI:4466	HP:0000713	['DEXMEDETOMIDINE']	['AGITATION']
HP:0000713|CHEBI:49575	Agitation	Diazepam	CHEBI:49575	HP:0000713	['DIAZEPAM', 'DIAZEPAM, CHOLINE', 'FOOD YELLOW 3 FREE ACID, DIAZEPAM']	['ACUTE AGITATION', 'ACUTE AGITATION (ALCOHOL WITHDRAWAL)', 'AGITATION']
HP:0000713|CHEBI:5818	Agitation	Hydroxyzine	CHEBI:5818	HP:0000713	['HYDROXYZINE']	['PSYCHOMOTOR AGITATION']
HP:0000713|CHEBI:7735	Agitation	Olanzapine	CHEBI:7735	HP:0000713	['OLANZAPINE']	['ACUTE AGITATION']
HP:0000713|CHEBI:7823	Agitation	Oxazepam	CHEBI:7823	HP:0000713	['OXAZEPAM']	['AGITATION', 'AGITATION AND IRRITABILITY IN OLDER PATIENTS']
HP:0000713|RXCUI:1152268	Agitation	amitriptyline / chlordiazepoxide Pill	RXCUI:1152268	HP:0000713	['AMITRIPTYLINE, CHLORDIAZEPOXIDE']	['AGITATION']
HP:0000713|RXCUI:1152272	Agitation	amitriptyline / perphenazine Pill	RXCUI:1152272	HP:0000713	['AMITRIPTYLINE, PERPHENAZINE']	['AGITATION']
HP:0000718|CHEBI:5613	Aggressive behavior	Haloperidol	CHEBI:5613	HP:0000718	['HALOPERIDOL']	['COMBATIVE']
HP:0000718|CHEBI:8378	Aggressive behavior	Prednisolone	CHEBI:8378	HP:0000718	['PREDNISOLONE', 'PREDNISOLONE, SACCHARIN']	['AGGRESSIVE LYMPHOMAS']
HP:0000736|CHEBI:6809	Short attention span	Metamfetamine	CHEBI:6809	HP:0000736	['METHAMPHETAMINE']	['SHORT ATTENTION SPAN']
HP:0000737|CHEBI:7823	Irritability	Oxazepam	CHEBI:7823	HP:0000737	['OXAZEPAM']	['AND IRRITABILITY IN OLDER PATIENTS', 'IRRITABILITY']
HP:0000752|CHEBI:3647	Hyperactivity	Chlorpromazine	CHEBI:3647	HP:0000752	['CHLORPROMAZINE']	['HYPERACTIVE BEHAVIOR', 'HYPERACTIVITY']
HP:0000752|CHEBI:5613	Hyperactivity	Haloperidol	CHEBI:5613	HP:0000752	['HALOPERIDOL']	['HYPERACTIVITY']
HP:0000752|CHEBI:6809	Hyperactivity	Metamfetamine	CHEBI:6809	HP:0000752	['METHAMPHETAMINE']	['HYPERACTIVITY']
HP:0000786|CHEBI:5812	Primary amenorrhea	Hydroxyprogesterone caproate	CHEBI:5812	HP:0000786	['HYDROXYPROGESTERONE']	['AMENORRHEA (PRIMARY AND SECONDARY)']
HP:0000823|CHEBI:27436	Delayed puberty	Methyltestosterone	CHEBI:27436	HP:0000823	['METHYLTESTOSTERONE']	['DELAYED PUBERTY']
HP:0000823|CHEBI:9463	Delayed puberty	Testosterone cypionate	CHEBI:9463	HP:0000823	['TESTOSTERONE']	['DELAYED PUBERTY']
HP:0000832|CHEBI:35940	Primary hypothyroidism	Protirelin	CHEBI:35940	HP:0000832	['PROTIRELIN']	['PRIMARY HYPOTHYROIDISM']
HP:0000832|CHEBI:6446	Primary hypothyroidism	levothyroxine sodium anhydrous	CHEBI:6446	HP:0000832	['C.I. FOOD YELLOW 3 (FREE ACID), LEVOTHYROXINE', 'FOOD YELLOW 3 FREE ACID, LEVOTHYROXINE', 'LEVOTHYROXINE', 'LIOTHYRONINE, LEVOTHYROXINE']	['ACQUIRED HYPOTHYROIDISM', 'HYPOTHYROIDISM (ACQUIRED)', 'HYPOTHYROIDISM (PRIMARY', 'HYPOTHYROIDISM (PRIMARY HYPOTHYROIDISM)', 'HYPOTHYROIDISM (PRIMARY)', 'HYPOTHYROIDISM (PRIMARY/THYROIDAL)', 'HYPOTHYROIDISM (PRIMARY/THYROIDAL) (CONGENITAL OR ACQUIRED)', 'PRIMARY (THYROIDAL) HYPOTHYROIDISM', 'PRIMARY HYPOTHYROIDISM', 'PRIMARY HYPOTHYROIDISM (CONGENITAL OR ACQUIRED)', 'PRIMARY HYPOTHYROIDISM (DRUGS)', 'PRIMARY HYPOTHYROIDISM (PRIMARY ATROPHY)', 'PRIMARY HYPOTHYROIDISM (RADIATION)', 'PRIMARY HYPOTHYROIDISM (SURGERY)', 'PRIMARY HYPOTHYROIDISM (THYROIDAL)', 'PRIMARY HYPOTHYROIDISM (WITH GOITER)', 'PRIMARY HYPOTHYROIDISM (WITH OR WITHOUT GOITER)', 'PRIMARY HYPOTHYROIDISM (WITHOUT GOITER)']
HP:0000832|CHEBI:6484	Primary hypothyroidism	LIOTHYRONINE SODIUM	CHEBI:6484	HP:0000832	['CALCIUM CATION, LIOTHYRONINE', 'LIOTHYRONINE']	['HYPOTHYROIDISM (ACQUIRED)', 'HYPOTHYROIDISM (PRIMARY', 'HYPOTHYROIDISM (PRIMARY)', 'PRIMARY HYPOTHYROIDISM', 'PRIMARY HYPOTHYROIDISM (ATROPHY)', 'PRIMARY HYPOTHYROIDISM (DRUGS)', 'PRIMARY HYPOTHYROIDISM (RADIATION)', 'PRIMARY HYPOTHYROIDISM (SURGERY)']
HP:0000832|DRUGBANK:DB09100	Primary hypothyroidism	Thyroid, porcine	DRUGBANK:DB09100	HP:0000832	['SUS SCROFA THYROID', 'THYROID, PORCINE']	['PRIMARY HYPOTHYROIDISM', 'PRIMARY HYPOTHYROIDISM (DRUGS)', 'PRIMARY HYPOTHYROIDISM (PRIMARY ATROPHY)', 'PRIMARY HYPOTHYROIDISM (RADIATION)', 'PRIMARY HYPOTHYROIDISM (SURGERY)', 'PRIMARY HYPOTHYROIDISM (WITH GOITER)', 'PRIMARY HYPOTHYROIDISM (WITHOUT GOITER)']
HP:0000832|MESH:D013962	Primary hypothyroidism	Thyroid (USP)	MESH:D013962	HP:0000832	['THYROID']	['PRIMARY HYPOTHYROIDISM']
HP:0000855|CHEBI:6801	Insulin resistance	Metformin	CHEBI:6801	HP:0000855	['METFORMIN HYDROCHLORIDE']	['INSULIN RESISTANCE']
HP:0000855|DRUGBANK:DB00030	Insulin resistance	Insulin human	DRUGBANK:DB00030	HP:0000855	['INSULIN HUMAN (RDNA)']	['INSULIN RESISTANCE']
HP:0000858|CHEBI:16469	Irregular menstruation	Estradiol	CHEBI:16469	HP:0000858	['NOMEGESTROL ACETATE, ESTRADIOL', 'NOMEGESTROL, ESTRADIOL']	['MENSTRUAL IRREGULARITIES']
HP:0000868|CHEBI:3515	Decreased fertility in females	Cefuroxime	CHEBI:3515	HP:0000868	['CEFUROXIME']	['IN FEMALES', 'IN FEMALES)']
HP:0000869|CHEBI:17026	Secondary amenorrhea	Progesterone	CHEBI:17026	HP:0000869	['PROGESTERONE']	['SECONDARY AMENORRHEA']
HP:0000869|CHEBI:3752	Secondary amenorrhea	Clomifene	CHEBI:3752	HP:0000869	['CLOMIPHENE']	['SECONDARY AMENORRHEA']
HP:0000869|CHEBI:6715	Secondary amenorrhea	medroxyprogesterone	CHEBI:6715	HP:0000869	['MEDROXYPROGESTERONE']	['SECONDARY AMENORRHEA']
HP:0000869|CHEBI:7627	Secondary amenorrhea	Norethisterone	CHEBI:7627	HP:0000869	['NORETHINDRONE']	['SECONDARY AMENORRHEA']
HP:0000958|CHEBI:16199	Dry skin	Urea	CHEBI:16199	HP:0000958	['UREA']	['DRY SKIN', 'XEROSIS']
HP:0000958|CHEBI:3077	Dry skin	Betamethasone	CHEBI:3077	HP:0000958	['BETAMETHASONE']	['SPECIFIC DRY SKIN']
HP:0000958|CHEBI:422	Dry skin	L-Lactic acid	CHEBI:422	HP:0000958	['LACTIC ACID', 'LACTIC ACID, DL-', 'LACTIC ACID, UNSPECIFIED FORM']	['SCALY SKIN (XEROSIS)', 'XEROSIS', 'XEROSIS (DRY']
HP:0000958|CHEBI:9180	Dry skin	SODIUM SALICYLATE	CHEBI:9180	HP:0000958	['UREA, SALICYLIC ACID']	['XEROSIS']
HP:0000964|CHEBI:17833	Eczematoid dermatitis	Gentamicin	CHEBI:17833	HP:0000964	['GENTAMICIN']	['INFECTIOUS ECZEMATOID DERMATITIS']
HP:0000964|CHEBI:9180	Eczematoid dermatitis	SODIUM SALICYLATE	CHEBI:9180	HP:0000964	['SALICYLIC ACID']	['ECZEMATOID CONDITIONS']
HP:0000969|CHEBI:32107	Edema	ROXATIDINE ACETATE HYDROCHLORIDE	CHEBI:32107	HP:0000969	['ROXATIDINE ACETATE HYDROCHLORIDE']	['EDEMA']
HP:0000969|CHEBI:3640	Edema	Chlorothiazide	CHEBI:3640	HP:0000969	['CHLOROTHIAZIDE']	['EDEMA']
HP:0000969|CHEBI:3654	Edema	Chlorthalidone	CHEBI:3654	HP:0000969	['CHLORTHALIDONE']	['EDEMA']
HP:0000969|CHEBI:5778	Edema	Hydrochlorothiazide	CHEBI:5778	HP:0000969	['HYDROCHLOROTHIAZIDE']	['EDEMA']
HP:0000969|CHEBI:5781	Edema	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	HP:0000969	['HYDROCORTISONE']	['EDEMA']
HP:0000969|CHEBI:5893	Edema	Indapamide	CHEBI:5893	HP:0000969	['INDAPAMIDE']	['SALT AND FLUID RETENTION']
HP:0000969|CHEBI:6888	Edema	Methylprednisolone	CHEBI:6888	HP:0000969	['METHYLPREDNISOLONE']	['EDEMA']
HP:0000969|CHEBI:8382	Edema	Prednisone	CHEBI:8382	HP:0000969	['PREDNISONE']	['EDEMA']
HP:0000969|CHEBI:9241	Edema	Spironolactone	CHEBI:9241	HP:0000969	['SPIRONOLACTONE']	['EDEMA']
HP:0000969|RXCUI:17276	Edema	Aldactazide	RXCUI:17276	HP:0000969	['HYDROCHLOROTHIAZIDE, SPIRONOLACTONE']	['EDEMA']
HP:0000969|RXCUI:215703	Edema	Blephamide	RXCUI:215703	HP:0000969	['PREDNISOLONE, SULFACETAMIDE']	['EDEMA']
HP:0000969|RXCUI:23742	Edema	Dyazide	RXCUI:23742	HP:0000969	['HYDROCHLOROTHIAZIDE, TRIAMTERENE']	['EDEMA']
HP:0000969|RXCUI:374806	Edema	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	RXCUI:374806	HP:0000969	['HYDROCORTISONE, NEOMYCIN, POLYMYXIN B']	['EDEMA']
HP:0000975|CHEBI:144551	Hyperhidrosis	Oxybutynin	CHEBI:144551	HP:0000975	['OXYBUTYNIN HYDROCHLORIDE']	['PRIMARY PALMAR HYPERHIDROSIS']
HP:0000975|CHEBI:16684	Hyperhidrosis	Atropine	CHEBI:16684	HP:0000975	['HYOSCYAMINE']	['HYPERHIDROSIS']
HP:0000975|CHEBI:26710	Hyperhidrosis	Sodium chloride	CHEBI:26710	HP:0000975	['CHLORIDE ION, SODIUM CATION']	['SWEATING', 'SWEATING)']
HP:0000975|CHEBI:29101	Hyperhidrosis	Sodium cation	CHEBI:29101	HP:0000975	['SODIUM CATION']	['FLUID LOSS DUE TO EXCESSIVE SWEATING']
HP:0000975|CHEBI:8077	Hyperhidrosis	Phenoxybenzamine	CHEBI:8077	HP:0000975	['PHENOXYBENZAMINE']	['SWEATING']
HP:0000975|DRUGBANK:DB00083	Hyperhidrosis	Botulinum toxin type A	DRUGBANK:DB00083	HP:0000975	['BOTULINUM TOXIN TYPE A']	['AXILLARY HYPERHIDROSIS', 'HYPERHIDROSIS']
HP:0000975|PUBCHEM.COMPOUND:71680039	Hyperhidrosis	GLYCOPYRRONIUM TOSYLATE	PUBCHEM.COMPOUND:71680039	HP:0000975	['GLYCOPYRRONIUM TOSILATE HYDRATE']	['PRIMARY AXILLARY HYPERHIDROSIS']
HP:0000975|RXCUI:2637040	Hyperhidrosis	glycopyrronium / neostigmine Prefilled Syringe	RXCUI:2637040	HP:0000975	['GLYCOPYRRONIUM']	['PRIMARY AXILLARY HYPERHIDROSIS']
HP:0000975|UNII:00Y6A5AJU6	Hyperhidrosis	sofpironium	UNII:00Y6A5AJU6	HP:0000975	['SOFPIRONIUM BROMIDE']	['PRIMARY AXILLARY HYPERHIDROSIS']
HP:0000975|UNII:7B2Y1932XU	Hyperhidrosis	SOFPIRONIUM BROMIDE	UNII:7B2Y1932XU	HP:0000975	['SOFPIRONIUM BROMIDE']	['PRIMARY AXILLARY HYPERHIDROSIS']
HP:0000978|CHEBI:25187	Bruising susceptibility	Menthol	CHEBI:25187	HP:0000978	['MENTHOL, CAPSAICIN', 'MENTHOL, HISTAMINE, CAPSAICIN', 'SALICYLIC ACID, MENTHOL, CAPSAICIN']	['BRUISES']
HP:0000978|CHEBI:3374	Bruising susceptibility	Capsaicin	CHEBI:3374	HP:0000978	['CAPSAICIN']	['BRUISES']
HP:0000978|CHEBI:6446	Bruising susceptibility	levothyroxine sodium anhydrous	CHEBI:6446	HP:0000978	['CLAVULANIC ACID, AMOXICILLIN ANHYDROUS']	['CONSIDER THE NEED FOR CULTURE AND SUSCEPTIBILITY TESTING)']
HP:0000978|RXCUI:1164043	Bruising susceptibility	lidocaine / menthol / methyl salicylate Topical Product	RXCUI:1164043	HP:0000978	['LIDOCAINE, MENTHOL']	['BRUISES']
HP:0000978|RXCUI:835851	Bruising susceptibility	capsaicin / menthol / methyl salicylate Topical Ointment	RXCUI:835851	HP:0000978	['METHYL SALICYLATE, MENTHOL, CAPSAICIN']	['BRUISES']
HP:0000989|CHEBI:135954	Pruritus	Bilastine	CHEBI:135954	HP:0000989	['BILASTINE']	['CUTANEOUS PRURITUS']
HP:0000989|CHEBI:16469	Pruritus	Estradiol	CHEBI:16469	HP:0000989	['ESTRADIOL']	['PRURITUS']
HP:0000989|CHEBI:291342	Pruritus	Desloratadine	CHEBI:291342	HP:0000989	['DESLORATADINE']	['CUTANEOUS PRURITUS']
HP:0000989|CHEBI:31281	Pruritus	BEPOTASTINE BESYLATE	CHEBI:31281	HP:0000989	['BEPOTASTINE BESILATE']	['CUTANEOUS PRURITUS']
HP:0000989|CHEBI:31414	Pruritus	Clobetasol propionate	CHEBI:31414	HP:0000989	['CLOBETASOL']	['CORTICOSTEROID-RESPONSIVE DERMATOSES (PRURITIC)', 'PRURITIC DERMATOSES (CORTICOSTEROID-RESPONSIVE)', 'SEVERE PRURITUS']
HP:0000989|CHEBI:31933	Pruritus	OLOPATADINE HYDROCHLORIDE	CHEBI:31933	HP:0000989	['OLOPATADINE HYDROCHLORIDE']	['PRURITUS CUTANEOUS']
HP:0000989|CHEBI:3738	Pruritus	Clemastine	CHEBI:3738	HP:0000989	['CLEMASTINE']	['PRURITUS']
HP:0000989|CHEBI:4636	Pruritus	Diphenhydramine	CHEBI:4636	HP:0000989	['DIPHENHYDRAMINE']	['PRURITUS']
HP:0000989|CHEBI:5050	Pruritus	Fexofenadine	CHEBI:5050	HP:0000989	['FEXOFENADINE HYDROCHLORIDE']	['PRURITUS CUTANEOUS']
HP:0000989|CHEBI:51037	Pruritus	EPINASTINE HYDROCHLORIDE	CHEBI:51037	HP:0000989	['EPINASTINE HYDROCHLORIDE']	['SKIN PRURITUS']
HP:0000989|CHEBI:5134	Pruritus	Fluticasone	CHEBI:5134	HP:0000989	['FLUTICASONE']	['PRURITIC DERMATOSES']
HP:0000989|CHEBI:5781	Pruritus	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	HP:0000989	['HYDROCORTISONE']	['PRURITUS', 'SEVERE PRURITUS']
HP:0000989|CHEBI:5818	Pruritus	Hydroxyzine	CHEBI:5818	HP:0000989	['FOOD YELLOW 3 FREE ACID, HYDROXYZINE', 'HYDROXYZINE']	['HISTAMINE-MEDIATED PRURITUS', 'PRURITUS', 'PRURITUS (ALLERGIC CONDITIONS', 'PRURITUS (ALLERGIC CONDITIONS)', 'PRURITUS (CHRONIC URTICARIAL)', 'PRURITUS (CONTACT DERMATOSES)', 'PRURITUS (HISTAMINE-MEDIATED)', 'PRURITUS)']
HP:0000989|CHEBI:6446	Pruritus	levothyroxine sodium anhydrous	CHEBI:6446	HP:0000989	['FOOD YELLOW 3 FREE ACID, HYDROXYZINE, ANHYDROUS LACTOSE', 'HYDROXYZINE, ANHYDROUS LACTOSE']	['HISTAMINE-MEDIATED PRURITUS', 'PRURITUS', 'PRURITUS (ALLERGIC CONDITIONS)', 'PRURITUS (CONTACT DERMATOSES)', 'PRURITUS (HISTAMINE-MEDIATED)']
HP:0000989|CHEBI:6456	Pruritus	Lidocaine	CHEBI:6456	HP:0000989	['LIDOCAINE', 'LIDOCAINE, HYDROCORTISONE']	['PRURITIC ECZEMAS', 'PRURITIS', 'PRURITUS']
HP:0000989|CHEBI:6888	Pruritus	Methylprednisolone	CHEBI:6888	HP:0000989	['METHYLPREDNISOLONE']	['SEVERE INTRACTABLE PRURITUS']
HP:0000989|CHEBI:8378	Pruritus	Prednisolone	CHEBI:8378	HP:0000989	['PREDNISOLONE, SACCHARIN']	['SEVERE PRURITUS']
HP:0000989|CHEBI:8382	Pruritus	Prednisone	CHEBI:8382	HP:0000989	['PREDNISONE']	['LOCALIZED PRURITIC DERMATOSES', 'SEVERE PRURITUS']
HP:0000989|PUBCHEM.COMPOUND:9551858	Pruritus	CETIRIZINE HYDROCHLORIDE	PUBCHEM.COMPOUND:9551858	HP:0000989	['CETIRIZINE HYDROCHLORIDE']	['PRURITUS CUTANEOUS']
HP:0000989|UNII:0P70AR5BYB	Pruritus	Difelikefalin Acetate	UNII:0P70AR5BYB	HP:0000989	['DIFELIKEFALIN ACETATE']	['PRURITUS (HEMODIALYSIS)']
HP:0000989|UNII:25CC4N0P8J	Pruritus	NALFURAFINE HYDROCHLORIDE	UNII:25CC4N0P8J	HP:0000989	['NALFURAFINE HYDROCHLORIDE']	['PRURITUS']
HP:0000989|UNII:4B33BGI082	Pruritus	Cholestyramine	UNII:4B33BGI082	HP:0000989	['CHOLESTYRAMINE']	['PRURITUS', 'PRURITUS ASSOCIATED WITH PARTIAL BILIARY OBSTRUCTION']
HP:0000989|UNII:UYB6UOF69L	Pruritus	Maralixibat	UNII:UYB6UOF69L	HP:0000989	['MARALIXIBAT CHLORIDE']	['CHOLESTATIC PRURITUS (ALGS)']
HP:0000989|UNII:W69HSF2416	Pruritus	Levocetirizine hydrochloride	UNII:W69HSF2416	HP:0000989	['LEVOCETIRIZINE HYDROCHLORIDE']	['CUTANEOUS PRURITUS', 'PRURITUS CUTANEOUS']
HP:0000989|UNII:XJ6OT32M93	Pruritus	Rupatadine fumarate	UNII:XJ6OT32M93	HP:0000989	['RUPATADINE FUMARATE']	['CUTANEOUS PRURITUS']
HP:0001003|CHEBI:17594	Multiple lentigines	Hydroquinone	CHEBI:17594	HP:0001003	['HYDROQUINONE', 'OCTINOXATE, OXYBENZONE, HYDROQUINONE']	['LIVER SPOTS', 'SENILE LENTIGINES']
HP:0001003|CHEBI:3077	Multiple lentigines	Betamethasone	CHEBI:3077	HP:0001003	['BETAMETHASONE, TRETINOIN, HYDROQUINONE']	['LENTIGINES']
HP:0001003|CHEBI:32184	Multiple lentigines	Tazarotene	CHEBI:32184	HP:0001003	['TAZAROTENE']	['BENIGN FACIAL LENTIGINES']
HP:0001003|CHEBI:36560	Multiple lentigines	Zinc oxide	CHEBI:36560	HP:0001003	['HOMOSALATE, ZINC OXIDE, HYDROQUINONE, OCTISALATE', 'OCTINOXATE, ZINC OXIDE, HYDROQUINONE', 'OCTINOXATE, ZINC OXIDE, HYDROQUINONE, OXYBENZONE']	['SENILE LENTIGINES']
HP:0001003|CHEBI:5781	Multiple lentigines	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	HP:0001003	['HYDROCORTISONE, TRETINOIN, HYDROQUINONE']	['LIVER SPOTS']
HP:0001003|CHEBI:6446	Multiple lentigines	levothyroxine sodium anhydrous	CHEBI:6446	HP:0001003	['ANHYDROUS LACTOSE, HYDROQUINONE']	['SENILE LENTIGINES']
HP:0001007|CHEBI:16469	Hirsutism	Estradiol	CHEBI:16469	HP:0001007	['NOMEGESTROL ACETATE, ESTRADIOL', 'NOMEGESTROL, ESTRADIOL']	['HIRSUTISM']
HP:0001007|CHEBI:4762	Hirsutism	EFLORNITHINE HYDROCHLORIDE	CHEBI:4762	HP:0001007	['EFLORNITHINE']	['HIRSUTISM']
HP:0001007|CHEBI:50838	Hirsutism	Drospirenone	CHEBI:50838	HP:0001007	['ESTETROL, DROSPIRENONE']	['HIRSUTISM']
HP:0001007|CHEBI:9241	Hirsutism	Spironolactone	CHEBI:9241	HP:0001007	['SPIRONOLACTONE']	['HIRSUTISM']
HP:0001075|CHEBI:31498	Atrophic scars	Dimethicone	CHEBI:31498	HP:0001075	['ALLANTOIN, DIMETHICONE']	['SCARS']
HP:0001123|CHEBI:17549	Visual field defect	Aminolevulinic acid	CHEBI:17549	HP:0001123	['5-AMINOLEVULINIC ACID HYDROCHLORIDE']	['FIELD CANCERIZATION']
HP:0001252|CHEBI:16347	Hypotonia	Levocarnitine	CHEBI:16347	HP:0001252	['LEVOCARNITINE']	['HYPOTONIA']
HP:0001252|CHEBI:29105	Hypotonia	Velmanase alfa	CHEBI:29105	HP:0001252	['VELMANASE ALFA']	['HYPOTONIA']
